Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours,Coordinates
56,1,Foraging,Foraging,Adult,{0},{0},[12784.22939477954;31941.863294595852;-13686.761224211194]
56,3,Lying/resting (stationary),Background,Adult,{},{},[36141.94273900986;38694.38019132614;-28808.501040935516]
57,5,Lying/resting (stationary),Background,Adult,{},{},[65532.29882735014;45002.452918827534;-22026.454211890697]
57,0,Foraging,Foraging,Adult,{1},{1},[9494.21566847153;30739.372850688174;-13707.397565822117]
57,1,Foraging,Foraging,Adult,{0},{0},[12704.183493774384;31959.60139337927;-13676.890692545101]
57,3,Lying/resting (stationary),Background,Adult,{},{},[36141.94273900986;38694.38019132614;-28808.501040935516]
58,5,Lying/resting (stationary),Background,Adult,{},{},[65532.29882735014;45002.452918827534;-22026.454211890697]
58,0,Foraging,Foraging,Adult,{1},{1},[9384.718025589362;30770.253229040653;-13657.207431580871]
58,1,Foraging,Foraging,Adult,{0},{0},[11973.201694408432;31756.395438108593;-13464.267691288143]
58,3,Lying/resting (stationary),Background,Adult,{},{},[36141.94273900986;38694.38019132614;-28808.501040935516]
59,5,Lying/resting (stationary),Background,Adult,{},{},[65502.39957630634;44988.85658842325;-22091.126494288445]
59,0,Foraging,Foraging,Adult,{1},{1},[9261.337401688099;30770.18220758438;-13632.365752220154]
59,1,Foraging,Foraging,Adult,{0},{0},[11233.827122300863;31622.5884218812;-13362.941162645817]
59,3,Lying/resting (stationary),Background,Adult,{},{},[36141.94273900986;38694.38019132614;-28808.501040935516]
60,5,Lying/resting (stationary),Background,Adult,{},{},[65502.39957630634;44988.85658842325;-22091.126494288445]
60,0,Foraging,Foraging,Adult,{1},{1},[9158.091025253758;30820.476282015443;-13590.546782432124]
60,1,Foraging,Foraging,Adult,{0},{0},[10145.707134179771;31335.9638371896;-13360.467671671882]
60,3,Lying/resting (stationary),Background,Adult,{},{},[36141.94273900986;38694.38019132614;-28808.501040935516]
61,5,Lying/resting (stationary),Background,Adult,{},{},[65502.39957630634;44988.85658842325;-22091.126494288445]
61,0,Foraging,Foraging,Adult,{1},{1},[9004.805304441601;30852.843899913132;-13574.20739389956]
61,1,Foraging,Foraging,Adult,{0},{0},[9468.505117857829;31645.31895295158;-13130.844139348716]
61,3,Lying/resting (stationary),Background,Adult,{},{},[36141.94273900986;38694.38019132614;-28808.501040935516]
62,5,Lying/resting (stationary),Background,Adult,{},{},[65502.39957630634;44988.85658842325;-22091.126494288445]
62,0,Foraging,Foraging,Adult,{1},{1},[8880.059260915965;30733.79004625231;-13634.162145946175]
62,1,Foraging,Foraging,Adult,{0},{0},[9508.689221777022;32091.383256301284;-12902.007827423513]
62,3,Lying/resting (stationary),Background,Adult,{},{},[36141.94273900986;38694.38019132614;-28808.501040935516]
63,5,Lying/resting (stationary),Background,Adult,{},{},[65502.39957630634;44988.85658842325;-22091.126494288445]
63,0,Foraging,Foraging,Adult,{1},{1},[8732.341357430443;30665.39198775962;-13666.425656965002]
63,1,Foraging,Foraging,Adult,{0},{0},[9440.607694548555;32226.478213712573;-12717.570853290148]
63,3,Lying/resting (stationary),Background,Adult,{},{},[36141.94273900986;38694.38019132614;-28808.501040935516]
64,5,Lying/resting (stationary),Background,Adult,{},{},[65502.39957630634;44988.85658842325;-22091.126494288445]
64,0,Foraging,Foraging,Adult,{1},{1},[8662.243250504136;30587.09369394183;-13708.767338886857]
64,1,Foraging,Foraging,Adult,{0},{0},[9135.566960091703;32270.436419174075;-12459.09793011751]
64,3,Lying/resting (stationary),Background,Adult,{},{},[36141.94273900986;38694.38019132614;-28808.501040935516]
65,5,Lying/resting (stationary),Background,Adult,{},{},[65502.39957630634;44988.85658842325;-22091.126494288445]
65,0,Foraging,Foraging,Adult,{1},{1},[8618.74268370308;30573.975335668772;-13694.721872324124]
65,1,Foraging,Foraging,Adult,{0},{0},[8688.49879770726;32346.910612151027;-12014.338424012065]
65,3,Lying/resting (stationary),Background,Adult,{},{},[36141.94273900986;38694.38019132614;-28808.501040935516]
66,5,Lying/resting (stationary),Background,Adult,{},{},[65424.65661035478;44989.37305664644;-22078.21961804852]
66,0,Foraging,Foraging,Adult,{1},{1},[8578.54562216252;30573.20503796637;-13687.701135195792]
66,1,Foraging,Foraging,Adult,{0},{0},[7969.610383043531;32454.173566063866;-11884.97012053337]
66,3,Lying/resting (stationary),Background,Adult,{},{},[36141.94273900986;38694.38019132614;-28808.501040935516]
67,5,Lying/resting (stationary),Background,Adult,{},{},[65424.65661035478;44989.37305664644;-22078.21961804852]
67,0,Foraging,Foraging,Adult,{1},{1},[8578.54562216252;30573.20503796637;-13687.701135195792]
67,1,Foraging,Foraging,Adult,{0},{0},[7651.838915404864;32497.50558785349;-11803.844270457514]
