Time,ID,Behaviour,Zone,Meerkat type,Close_neighbours,Distant_neighbours
23,8,None,Around Mound,Pup,{3;7;5;11},{5;10;3;6;7;11}
24,6,None,Around Mound,Pup,{10;7},{3;10;7;8}
24,10,Low sitting/standing (stationary),Around Mound,Adult,{6;3;7},{6;3;7;8}
24,1,Moving,Around Mound,Adult,{},{}
24,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
24,3,Low sitting/standing (stationary),Around Mound,Adult,{10;7;8},{5;10;8;6;7}
24,5,Moving,Around Mound,Adult,{},{3;7;8}
24,7,None,Around Mound,Pup,{6;10;3;8},{5;10;8;3;6}
24,8,None,Around Mound,Pup,{3;7},{5;10;3;6;7}
25,6,None,Around Mound,Pup,{10;7},{3;10;7;8}
25,10,Low sitting/standing (stationary),Around Mound,Adult,{6;3;7},{6;3;7;8}
25,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
25,3,Low sitting/standing (stationary),Around Mound,Adult,{10;7;8},{6;10;7;8}
25,5,Foraging,Around Mound,Adult,{},{8}
25,7,None,Around Mound,Pup,{6;10;3;8},{6;10;3;8}
25,8,None,Around Mound,Pup,{3;7},{5;10;3;6;7}
26,6,None,Around Mound,Pup,{10;7},{3;10;7;8}
26,10,Low sitting/standing (stationary),Around Mound,Adult,{6;3;7},{6;3;7;8}
26,12,Moving,Mound,Adult,{},{}
26,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
26,3,Low sitting/standing (stationary),Around Mound,Adult,{10;7;8},{6;10;7;8}
26,5,Foraging,Around Mound,Adult,{},{8}
26,7,None,Around Mound,Pup,{6;10;3;8},{6;10;3;8}
26,8,None,Around Mound,Pup,{3;7},{5;10;3;6;7}
27,6,None,Around Mound,Pup,{3;10;7},{3;10;7;8}
27,10,Low sitting/standing (stationary),Around Mound,Adult,{6;3;7},{6;3;7;8}
27,12,Moving,Around Mound,Adult,{},{5}
27,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
27,3,Low sitting/standing (stationary),Around Mound,Adult,{6;10;7;8},{6;10;7;8}
27,5,Moving,Around Mound,Adult,{},{12;8}
27,7,None,Around Mound,Pup,{6;10;3;8},{6;10;3;8}
27,8,None,Around Mound,Pup,{3;7},{5;10;3;6;7}
28,6,None,Around Mound,Pup,{10;7},{4;10;8;3;7;11}
28,10,Low sitting/standing (stationary),Around Mound,Adult,{6;3;7},{4;8;3;6;7;11}
28,11,Groom,Around Mound,Adult,{3;4;7;8},{4;10;12;8;3;13;6;7}
28,12,Moving,Around Mound,Adult,{},{4;5;8;13;7;11}
28,13,Moving,Around Mound,Adult,{5},{12;5;11}
28,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
28,3,Interact with pup,Around Mound,Adult,{4;10;8;7;11},{4;10;8;6;7;11}
28,4,Moving,Around Mound,Adult,{3;11;8},{10;12;8;3;6;7;11}
28,5,Moving,Around Mound,Adult,{13},{12;13}
28,7,None,Around Mound,Pup,{10;8;3;6;11},{4;10;12;8;3;6;11}
28,8,None,Around Mound,Pup,{3;4;7;11},{4;10;12;3;6;7;11}
29,6,None,Around Mound,Pup,{3;10;7},{12;10;8;3;7;11}
29,10,Low sitting/standing (stationary),Around Mound,Adult,{6;3;7},{8;3;6;7;11}
29,11,Groom,Around Mound,Adult,{4;12;8;3;7},{4;10;12;8;3;13;6;7}
29,12,Moving,Around Mound,Adult,{4;11;8},{4;8;3;13;6;7;11}
29,13,Moving,Left Sticks Area,Adult,{4},{4;12;8;3;11}
29,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
29,3,Interact with pup,Around Mound,Adult,{10;8;6;7;11},{4;10;12;8;13;6;7;11}
29,4,Moving,Left Sticks Area,Adult,{8;12;11;13},{12;8;3;13;7;11}
29,7,None,Around Mound,Pup,{10;8;3;6;11},{4;10;12;8;3;6;11}
29,8,None,Around Mound,Pup,{4;12;3;7;11},{4;10;12;3;13;6;7;11}
30,6,None,Around Mound,Pup,{3;10;7},{12;10;8;3;7;11}
30,10,Low sitting/standing (stationary),Around Mound,Adult,{6;3;7},{12;8;3;13;6;7;11}
30,11,Groom,Around Mound,Adult,{3;12;7;8},{4;10;12;8;3;13;6;7}
30,12,Moving,Around Mound,Adult,{3;11;8},{4;10;8;3;13;6;7;11}
30,13,Moving,Sand Area,Adult,{},{12;10;8;3;11}
30,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
30,3,Low sitting/standing (stationary),Around Mound,Adult,{10;12;8;6;7;11},{4;10;12;8;13;6;7;11}
30,4,Moving,Around Mound,Adult,{},{12;8;3;7;11}
30,7,None,Around Mound,Pup,{10;8;3;6;11},{4;10;12;8;3;6;11}
30,8,None,Around Mound,Pup,{3;12;7;11},{4;10;12;3;13;6;7;11}
31,6,None,Around Mound,Pup,{12;10;7;3},{12;10;8;3;7}
31,10,Low sitting/standing (stationary),Around Mound,Adult,{6;12;7;3},{12;8;3;13;6;7}
31,12,Moving,Around Mound,Adult,{10;8;3;6;7},{10;8;3;6;7}
31,13,Moving,Sand Area,Adult,{},{10}
31,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
31,3,Low sitting/standing (stationary),Around Mound,Adult,{10;12;8;6;7},{10;12;8;6;7}
31,4,Moving,Around Mound,Adult,{},{8}
31,7,None,Around Mound,Pup,{10;12;8;3;6},{10;12;8;3;6}
31,8,None,Around Mound,Pup,{3;12;7},{4;10;12;3;6;7}
32,6,None,Around Mound,Pup,{12;10;7},{12;10;8;3;7;11}
32,10,Low sitting/standing (stationary),Around Mound,Adult,{6;12;7;3},{12;8;3;6;7;11}
32,11,Groom,Around Mound,Adult,{3;7;8},{10;12;8;3;6;7}
32,12,Interact with pup,Around Mound,Adult,{6;10;7},{10;8;3;6;7;11}
32,13,Dig burrow,Sand Area,Adult,{},{}
32,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
32,3,Low sitting/standing (stationary),Around Mound,Adult,{10;7;11;8},{10;12;8;6;7;11}
32,4,Moving,Around Mound,Adult,{},{}
32,7,None,Around Mound,Pup,{10;12;8;3;6;11},{10;12;8;3;6;11}
32,8,None,Around Mound,Pup,{3;7;11},{10;12;3;6;7;11}
33,6,None,Around Mound,Pup,{12;10;7;3},{12;10;8;3;7;11}
33,10,Low sitting/standing (stationary),Around Mound,Adult,{6;12;7;3},{12;8;3;6;7;11}
33,11,Groom,Around Mound,Adult,{3;7;8},{10;12;8;3;6;7}
33,12,Interact with pup,Around Mound,Adult,{6;10;7},{10;8;3;6;7;11}
33,13,Dig burrow,Sand Area,Adult,{},{}
33,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
33,3,Low sitting/standing (stationary),Around Mound,Adult,{10;8;6;7;11},{10;12;8;6;7;11}
33,7,None,Around Mound,Pup,{10;12;8;3;6;11},{10;12;8;3;6;11}
33,8,None,Around Mound,Pup,{3;7;11},{10;12;3;6;7;11}
34,6,None,Around Mound,Pup,{12;10;7},{12;10;8;3;7;11}
34,10,Low sitting/standing (stationary),Around Mound,Adult,{6;12;7;3},{12;8;3;6;7;11}
34,11,Groom,Around Mound,Adult,{7;8},{10;12;8;3;6;7}
34,12,Interact with pup,Around Mound,Adult,{6;10;7},{10;8;3;6;7;11}
34,13,Dig burrow,Sand Area,Adult,{},{}
34,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
34,3,Moving,Sand Area,Adult,{10},{10;12;8;6;7;11}
34,7,None,Around Mound,Pup,{10;12;8;6;11},{10;12;8;3;6;11}
34,8,None,Around Mound,Pup,{7;11},{10;12;3;6;7;11}
35,6,None,Around Mound,Pup,{12;10;7},{12;10;8;3;7;11}
35,10,Low sitting/standing (stationary),Around Mound,Adult,{6;3;7},{12;8;3;6;7;11}
35,11,Groom,Around Mound,Adult,{7;8},{10;8;3;6;7}
35,12,Moving,Around Mound,Adult,{6},{6;10;7;3}
35,13,Dig burrow,Sand Area,Adult,{},{}
35,7,None,Around Mound,Pup,{6;10;11;8},{10;12;8;3;6;11}
35,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
35,3,Moving,Sand Area,Adult,{10},{10;12;8;6;7;11}
35,8,None,Around Mound,Pup,{7;11},{10;3;6;7;11}
36,6,None,Around Mound,Pup,{10;7},{10;8;3;7;11}
36,10,Low sitting/standing (stationary),Around Mound,Adult,{6;3;7},{8;3;6;7;11}
36,11,Groom,Around Mound,Adult,{7;8},{6;10;7;8}
36,12,Moving,Sand Area,Adult,{},{}
36,13,Dig burrow,Sand Area,Adult,{},{}
36,7,None,Around Mound,Pup,{6;10;11;8},{10;8;3;6;11}
36,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
36,3,Foraging,Sand Area,Adult,{10},{6;10;7}
36,8,None,Around Mound,Pup,{7;11},{6;10;7;11}
37,6,None,Around Mound,Pup,{10;7},{10;8;3;7;11}
37,10,Low sitting/standing (stationary),Around Mound,Adult,{6;7},{8;3;6;7;11}
37,11,Low sitting/standing (stationary),Around Mound,Adult,{7;8},{6;10;7;8}
37,12,Moving,Around Mound,Adult,{},{}
37,13,Dig burrow,Sand Area,Adult,{},{}
37,7,None,Around Mound,Pup,{6;10;11;8},{10;8;3;6;11}
37,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
37,3,Foraging,Sand Area,Adult,{},{6;10;7}
37,8,None,Around Mound,Pup,{7;11},{6;10;7;11}
38,6,None,Around Mound,Pup,{10;7},{10;8;3;7;11}
38,10,Low sitting/standing (stationary),Around Mound,Adult,{6;7},{8;3;6;7;11}
38,11,Sunbathe,Around Mound,Adult,{7;8},{6;10;7;8}
38,12,Dig burrow,Sand Area,Adult,{},{}
38,13,Dig burrow,Sand Area,Adult,{},{}
38,7,None,Around Mound,Pup,{6;10;11;8},{10;8;3;6;11}
38,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
38,3,Low sitting/standing (stationary),Sand Area,Adult,{},{6;10;7}
38,8,None,Around Mound,Pup,{7;11},{6;10;7;11}
39,6,None,Around Mound,Pup,{10;7},{10;8;3;7;11}
39,10,Low sitting/standing (stationary),Around Mound,Adult,{6;3;7},{8;3;6;7;11}
39,11,Sunbathe,Around Mound,Adult,{7;8},{6;10;7;8}
39,12,Dig burrow,Sand Area,Adult,{},{}
39,13,Dig burrow,Sand Area,Adult,{},{0}
39,0,Moving,Sand Area,Adult,{},{13}
39,7,None,Around Mound,Pup,{6;10;11;8},{10;8;3;6;11}
39,2,Raised Guarding (Vigilant),Mound,Adult,{},{}
39,3,Low sitting/standing (stationary),Sand Area,Adult,{10},{6;10;7}
39,8,None,Around Mound,Pup,{7;11},{6;10;7;11}
40,6,None,Around Mound,Pup,{10;7},{10;8;3;7;11}
40,10,Moving,Around Mound,Adult,{6},{8;3;6;7;11}
40,11,Sunbathe,Around Mound,Adult,{7;8},{6;10;7;8}
40,12,Dig burrow,Sand Area,Adult,{},{}
40,13,Dig burrow,Sand Area,Adult,{0},{0}
