Time,ID,Behaviour,Zone,Close_neighbours,Distant_neighbours
463,69,Interacting with foreign object,Foraging,{66;62;60;65},{66;68;70;62;60;65}
463,70,Foraging,Waiting Area,{68;65},{66;68;69;62;60;65}
464,60,Interacting with foreign object,Foraging,{62;69},{66;68;69;62;70;65}
464,62,Foraging,Foraging,{66;69;60},{66;68;70;69;60;65}
464,65,Interacting with foreign object,Foraging,{68;70},{66;68;70;69;62;60}
464,66,Foraging,Foraging,{62;69},{70;68;69;62;60;65}
464,68,Foraging,Waiting Area,{70;65},{66;70;69;62;60;65}
464,69,Interacting with foreign object,Foraging,{66;62;60},{66;68;70;62;60;65}
464,70,Foraging,Waiting Area,{68;65},{66;68;69;62;60;65}
465,60,Interacting with foreign object,Foraging,{71;62;69;65},{71;66;68;69;62;70;65}
465,62,Foraging,Foraging,{71;66;69;60;65},{71;66;68;70;69;60;65}
465,65,Interacting with foreign object,Foraging,{71;66;69;62;60},{71;66;68;70;69;62;60}
465,66,Foraging,Foraging,{71;62;69;65},{71;70;68;69;62;60;65}
465,68,Foraging,Waiting Area,{70},{71;66;70;69;62;60;65}
465,69,Interacting with foreign object,Foraging,{71;66;62;60;65},{71;66;68;70;62;60;65}
465,70,Foraging,Waiting Area,{68},{71;66;68;69;62;60;65}
465,71,Interacting with foreign object,Foraging,{66;69;62;60;65},{66;68;70;69;62;60;65}
466,60,Interacting with foreign object,Foraging,{71;62;69;65},{71;66;68;69;62;70;65}
466,62,Foraging,Foraging,{71;66;69;60;65},{71;66;68;70;69;60;65}
466,65,Foraging,Foraging,{71;66;69;62;60},{71;66;68;70;69;62;60}
466,66,Foraging,Foraging,{71;62;69;65},{71;70;68;69;62;60;65}
466,68,Foraging,Waiting Area,{70},{71;66;70;69;62;60;65}
466,69,Interacting with foreign object,Foraging,{71;66;62;60;65},{71;66;68;70;62;60;65}
466,70,Foraging,Waiting Area,{68},{71;66;68;69;62;60;65}
466,71,Interacting with foreign object,Foraging,{66;69;62;60;65},{66;68;70;69;62;60;65}
467,60,Dig burrow,Foraging,{71;62;69;65},{71;66;68;69;62;70;65}
467,62,Foraging,Foraging,{71;66;69;60;65},{71;66;68;70;69;60;65}
467,65,Foraging,Foraging,{71;66;69;62;60},{71;66;68;70;69;62;60}
467,66,Foraging,Foraging,{71;62;69;65},{71;70;68;69;62;60;65}
467,68,Foraging,Waiting Area,{70},{71;66;70;69;62;60;65}
467,69,Interacting with foreign object,Foraging,{71;66;62;60;65},{71;66;68;70;62;60;65}
467,70,Foraging,Waiting Area,{68},{71;66;68;69;62;60;65}
467,71,Interacting with foreign object,Foraging,{66;69;62;60;65},{66;68;70;69;62;60;65}
468,60,Interacting with foreign object,Foraging,{71;62;69;65},{71;66;68;69;62;70;65}
468,62,Moving,Foraging,{71;66;69;60;65},{71;66;68;70;69;60;65}
468,65,Foraging,Foraging,{71;66;69;62;60},{71;66;68;70;69;62;60}
468,66,Foraging,Foraging,{71;62;69;65},{71;70;68;69;62;60;65}
468,68,Foraging,Waiting Area,{70},{71;66;70;69;62;60;65}
468,69,Interacting with foreign object,Foraging,{71;66;62;60;65},{71;66;68;70;62;60;65}
468,70,Foraging,Waiting Area,{68},{71;66;68;69;62;60;65}
468,71,Interacting with foreign object,Foraging,{66;69;62;60;65},{66;68;70;69;62;60;65}
469,60,Interacting with foreign object,Foraging,{71;62;69},{71;66;68;69;62;70;65}
469,62,Foraging,Foraging,{66;69;60;71},{71;66;68;70;69;60;65}
469,65,Foraging,Foraging,{68;70},{71;66;68;70;69;62;60}
469,66,Foraging,Foraging,{71;62;69},{71;70;68;69;62;60;65}
469,68,Foraging,Waiting Area,{70;65},{71;66;70;69;62;60;65}
469,69,Interacting with foreign object,Foraging,{66;62;71;60},{71;66;68;70;62;60;65}
469,70,Foraging,Waiting Area,{68;65},{71;66;68;69;62;60;65}
469,71,Interacting with foreign object,Foraging,{66;62;69;60},{66;68;70;69;62;60;65}
